State,Cases,Cured,Death
Maharashtra,6634444,6481640,140941
Kerala,5133709,5046219,39838
Karnataka,2995600,2950542,38198
Tamil Nadu,2725467,2680667,36463
Andhra Pradesh,2072624,2056046,14438
Uttar Pradesh,1710382,1687389,22910
West Bengal,1614867,1587601,19462
Chhattisgarh,1006763,992840,13593
Rajasthan,954758,945604,8955
Gujarat,827408,817032,10092
Madhya Pradesh,793138,782488,10528
Haryana,771676,761454,10054
Bihar,726217,716513,9663
Telangana,675614,668090,3989
Assam,616568,607785,6092
Punjab,603240,586304,16596
Jharkhand,349221,343988,5140
Uttarakhand,344219,336636,7407
Himachal Pradesh,227003,222361,3847
Goa,178866,175211,3382
Mizoram,134373,129981,492
Manipur,125152,122496,1971
Odisha,104683,1038085,8407
Tripura,84787,83880,821
Meghalaya,84444,82672,1471
Arunachal Pradesh,55269,54956,280
Sikkim,32228,31698,403
Nagaland,32100,31269,696
